# Chado database date: 2024-09-30 21:55
gene_systematic_id	gene_name	synonyms	gene_product
SPNCRNA.110			non-coding RNA
SPNCRNA.1100			non-coding RNA
SPNCRNA.1101			non-coding RNA
SPNCRNA.1102			non-coding RNA
SPNCRNA.1103			non-coding RNA, possible alternative UTR
SPNCRNA.1104			non-coding RNA
SPNCRNA.1105			non-coding RNA, possible alternative UTR
SPNCRNA.1106			non-coding RNA
SPNCRNA.1107			non-coding RNA
SPNCRNA.1108			non-coding RNA
SPNCRNA.1109			non-coding RNA
SPNCRNA.111	rse1	SPNGAF1,SPNCRNA.1652	cis-acting lincRNA Ste11 repressor
SPNCRNA.1110			non-coding RNA, possible alternative UTR
SPNCRNA.1111			non-coding RNA
SPNCRNA.1112			non-coding RNA, possible alternative UTR
SPNCRNA.1113			non-coding RNA
SPNCRNA.1114			non-coding RNA
SPNCRNA.1115		SPNCRNA.458,SPNG2054	non-coding RNA, possible alternative UTR
SPNCRNA.1116			non-coding RNA
SPNCRNA.1117			non-coding RNA, possible alternative UTR
SPNCRNA.1118			non-coding RNA
SPNCRNA.1119			non-coding RNA
SPNCRNA.112			non-coding RNA
SPNCRNA.1120			non-coding RNA
SPNCRNA.1121			non-coding RNA
SPNCRNA.1122			non-coding RNA
SPNCRNA.1123			non-coding RNA
SPNCRNA.1124			non-coding RNA, possible alternative UTR
SPNCRNA.1125			non-coding RNA
SPNCRNA.1126			non-coding RNA
SPNCRNA.1127			non-coding RNA, possible alternative UTR
SPNCRNA.1128			non-coding RNA
SPNCRNA.1129			non-coding RNA
SPNCRNA.1130			non-coding RNA
SPNCRNA.1131			non-coding RNA
SPNCRNA.1132		SPNCRNA.578,SPNG2AF57	non-coding RNA
SPNCRNA.1133			non-coding RNA
SPNCRNA.1134			non-coding RNA, possible alternative UTR
SPNCRNA.1135			non-coding RNA
SPNCRNA.1136			non-coding RNA
SPNCRNA.1137			non-coding RNA
SPNCRNA.1138			non-coding RNA
SPNCRNA.1139			non-coding RNA
SPNCRNA.1140			non-coding RNA
SPNCRNA.1141			non-coding RNA, possible alternative UTR
SPNCRNA.1142			non-coding RNA
SPNCRNA.1143			non-coding RNA
SPNCRNA.1144			non-coding RNA
SPNCRNA.1145			non-coding RNA
SPNCRNA.1146			non-coding RNA
SPNCRNA.1147			non-coding RNA, possible alternative UTR
SPNCRNA.1148			non-coding RNA
SPNCRNA.1149			non-coding RNA
SPNCRNA.115			small non-coding RNA, expressed during late quiescence and late meiosis
SPNCRNA.1150			non-coding RNA, possible alternative UTR
SPNCRNA.1151			non-coding RNA
SPNCRNA.1152			non-coding RNA
SPNCRNA.1153			non-coding RNA
SPNCRNA.1154			non-coding RNA
SPNCRNA.1155			non-coding RNA
SPNCRNA.1156			non-coding RNA, possible alternative UTR
SPNCRNA.1157			non-coding RNA
SPNCRNA.1158			non-coding RNA
SPNCRNA.1159			non-coding RNA
SPNCRNA.116			small non-coding RNA, paralog of SPNCRNA.118
SPNCRNA.1160			non-coding RNA
SPNCRNA.1161			non-coding RNA
SPNCRNA.1162			non-coding RNA, possible alternative UTR
SPNCRNA.1164			non-coding RNA
SPNCRNA.1165			non-coding RNA
SPNCRNA.1166	prl6	SPNCRNA.06,prl06	non-coding RNA
SPNCRNA.1167			non-coding RNA
SPNCRNA.1168			non-coding RNA
SPNCRNA.1169			non-coding RNA
SPNCRNA.117			non-coding RNA
SPNCRNA.1170			non-coding RNA
SPNCRNA.1171			non-coding RNA
SPNCRNA.1172			centromere proximal lncRNA
SPNCRNA.1173			non-coding RNA, possible alternative UTR
SPNCRNA.1174			non-coding RNA
SPNCRNA.1175			non-coding RNA
SPNCRNA.1176			non-coding RNA
SPNCRNA.1177			non-coding RNA
SPNCRNA.1178			non-coding RNA
SPNCRNA.1179			non-coding RNA
SPNCRNA.118			small non-coding RNA, paralog of SPNCRNA.116
SPNCRNA.1180			non-coding RNA
SPNCRNA.1181			non-coding RNA
SPNCRNA.1182			non-coding RNA
SPNCRNA.1183			non-coding RNA
SPNCRNA.1184			non-coding RNA
SPNCRNA.1185			non-coding RNA
SPNCRNA.1186			non-coding RNA, possible alternative UTR
SPNCRNA.1187		SPNCRNA.489	non-coding RNA, possible alternative UTR
SPNCRNA.1188			non-coding RNA, possible alternative UTR
SPNCRNA.1189			non-coding RNA, possible alternative UTR
SPNCRNA.1190			non-coding RNA
SPNCRNA.1191			non-coding RNA, possible alternative UTR
SPNCRNA.1192			non-coding RNA
SPNCRNA.1193			non-coding RNA
SPNCRNA.1194			non-coding RNA, possible alternative UTR
SPNCRNA.1195			non-coding RNA
SPNCRNA.1197			non-coding RNA
SPNCRNA.1198			non-coding RNA, possible alternative UTR
SPNCRNA.1199			non-coding RNA
SPNCRNA.12	prl12		non-coding RNA, poly(A)-bearing
SPNCRNA.120			small non-coding RNA, expressed in stationary phase and quiescence
SPNCRNA.1200			non-coding RNA
SPNCRNA.1201			non-coding RNA
SPNCRNA.1202			non-coding RNA
SPNCRNA.1203			non-coding RNA
SPNCRNA.1204			non-coding RNA
SPNCRNA.1205		SPNCRNA.495,SPNG2446	non-coding RNA
SPNCRNA.1206			non-coding RNA
SPNCRNA.1207			non-coding RNA
SPNCRNA.1208		SPNG2AF60,SPNCRNA.582	non-coding RNA
SPNCRNA.1209			non-coding RNA
SPNCRNA.121			non-coding RNA
SPNCRNA.1210			non-coding RNA
SPNCRNA.1211			non-coding RNA
SPNCRNA.1212			non-coding RNA
SPNCRNA.1213			non-coding RNA
SPNCRNA.1214			non-coding RNA
SPNCRNA.1215			non-coding RNA
SPNCRNA.1216			non-coding RNA
SPNCRNA.1218			non-coding RNA, possible alternative UTR
SPNCRNA.1219			non-coding RNA
SPNCRNA.122			non-coding RNA
SPNCRNA.1220			non-coding RNA, possible alternative UTR
SPNCRNA.1221			non-coding RNA
SPNCRNA.1222			non-coding RNA
SPNCRNA.1223			non-coding RNA
SPNCRNA.1224			non-coding RNA, possible alternative UTR
